name,row,mean,se,distribution,lower_bound,upper_bound,ln_mean,ln_sd,description,source
time_for_behavioural_therapy__in_mins,399,5,1,Gamma ,25,0.2,3.04,6.96,,
c_behavioural_therapy_per_visit_a_week,400,29.535833333333336,,,,,,,,
c_NRT_light_smoker_recommended_dose,401,5100.983333333334,1020.1966666666667,Gamma ,25,204.03933333333336,3101.397866666667,7100.5688,,
c_NRT_light_smoker_max_dose,402,10523.348333333333,2104.6696666666667,Gamma ,25,420.93393333333336,6398.195786666667,14648.50088,,
c_NRT_moderate_smoker_recommended_dose,403,6552.823333333334,1310.5646666666669,Gamma ,24.999999999999996,262.1129333333334,3984.1165866666665,9121.53008,,
c_NRT_moderate_smoker_max_dose,404,10167.733333333334,2033.5466666666669,Gamma ,24.999999999999993,406.7093333333334,6181.981866666667,14153.4848,,
c_NRT_heavy_smoker_recommended_dose,405,7105.861598601231,1421.1723197202464,Gamma ,24.999999999999993,284.2344639440493,4320.363851949548,9891.359345252913,,
c_NRT_heavy_smoker_max_dose,406,7105.861598601231,1421.1723197202464,Gamma ,24.999999999999993,284.2344639440493,4320.363851949548,9891.359345252913,,
c_NRT_quiter_recommended_dose,407,5100.983333333334,1020.1966666666667,Gamma ,25,204.03933333333336,3101.397866666667,7100.5688,,
c_NRT_quiter_max_dose,408,10523.348333333333,2104.6696666666667,Gamma ,25,420.93393333333336,6398.195786666667,14648.50088,,
c_NRT_disease_group_recommended_dose,409,5861.424753808793,1172.2849507617586,Gamma ,24.999999999999996,234.45699015235175,3563.7462503157462,8159.10325730184,,
c_NRT_disease_group_max_dose,410,10020.740199808793,2004.1480399617587,Gamma ,25,400.8296079923518,6092.6100414837465,13948.870358133841,,
u_OAT,413,0.699,0.01,Beta,1469.99001,632.9999900000001,0.6794,0.7185999999999999,,
u_OAT_lessthan25,414,0.787,0.0383,Beta,89.14857594638997,24.12788650137365,0.711932,0.8620680000000001,,
u_OAT_26_40,415,0.724,0.0157,Beta,586.2068126090309,223.47110535924384,0.693228,0.754772,,
u_OAT_41_60,416,0.684,0.0141,Beta,742.9531208691715,343.2356523313715,0.6563640000000001,0.711636,,
u_OAT_above_60,417,0.613,0.0529,Beta,51.353153279898216,32.4203430984023,0.509316,0.716684,,
u_lung_cancer_1styear,419,0.61,0.0102,Beta,1394.228523644752,891.3920069204153,0.590008,0.629992,,
u_lung_cancer_2ndyrnbeyond,420,0.5,0.1,Beta,11.999999999999998,11.999999999999998,0.304,0.696,,
u_COPD,421,0.761,0.0173,Beta,461.69988743359283,145.00167292592468,,,https://doi.org/10.1080/15412555.2024.2385358 ,
u_stroke_AS,422,0.76,0.0204,Beta,332.3426528258362,104.9503114186851,,,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
u_stroke_MS,423,0.66,0.0375,Beta,104.6584,53.91493333333332,,,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
u_stroke_SS,424,0.44,0.0732,Beta,19.79350951058557,25.19173937710891,,,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
u_IHD,425,0.86,0.00129,Beta,62221.362222222226,10129.05896640827,,,korman & wisloff et al https://academic.oup.com/ehjcvp/article/4/1/15/3746062?login=true ,
u_quitting,427,0,,,,,,,check dose-response tab and https://pmc.ncbi.nlm.nih.gov/articles/PMC3352300/,0.0118451
p_primary_outcome_soc,430,0.014112903225806451,,,,,,,From RCT data ,
p_relapse_rate_primary_outcome_soc,431,0.375,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
